Rg;Mc;rh;rhoh;host
4.4100E+00;7.7900E+05;3.5700E+00;2.0400E+12;MilkyWay
9.8000E+00;1.1600E+05;6.9900E+00;4.0500E+10;MilkyWay
9.4000E+00;3.4500E+05;2.3200E+00;3.3000E+12;MilkyWay
1.5490E+01;1.6700E+05;3.0800E+00;6.8200E+11;MilkyWay
2.7200E+01;3.3500E+05;4.9800E+00;3.2400E+11;MilkyWay
1.1400E+01;3.0200E+05;1.6500E+00;8.0200E+12;MilkyWay
1.3270E+01;1.6900E+05;2.5900E+00;1.1600E+12;MilkyWay
1.0800E+01;1.1600E+04;2.9500E+00;5.3900E+10;MilkyWay
8.3200E+01;9.8100E+05;1.8290E+01;1.9100E+10;MilkyWay
3.9400E+01;4.4900E+04;1.8090E+01;9.0500E+08;MilkyWay
9.8000E+00;7.4200E+05;2.0600E+00;1.0100E+13;MilkyWay
8.0900E+00;3.0600E+04;5.4500E+00;2.2600E+10;MilkyWay
9.2500E+01;6.1500E+04;1.9690E+01;9.6200E+08;MilkyWay
4.7000E+00;1.4900E+05;3.7700E+00;3.3200E+11;MilkyWay
1.0300E+02;2.9800E+04;1.7870E+01;6.2300E+08;MilkyWay
1.8200E+01;3.2900E+04;2.4900E+00;2.5400E+11;MilkyWay
6.3000E+00;2.4900E+05;6.3400E+00;1.1700E+11;MilkyWay
2.4300E+01;1.0200E+05;1.0470E+01;1.0600E+10;MilkyWay
1.0590E+01;1.2300E+05;4.5100E+00;1.6000E+11;MilkyWay
9.0000E+00;2.4700E+05;6.7500E+00;9.5900E+10;MilkyWay
1.7900E+01;3.8000E+05;6.2300E+00;1.8800E+11;MilkyWay
1.7200E+01;5.6600E+04;1.3410E+01;2.8000E+09;MilkyWay
5.2000E+00;3.5500E+06;7.0400E+00;1.2100E+12;MilkyWay
1.0060E+01;3.9400E+05;3.3600E+00;1.2400E+12;MilkyWay
1.1700E+01;4.0100E+05;2.6400E+00;2.6000E+12;MilkyWay
1.6900E+01;4.5600E+04;1.0720E+01;4.4200E+09;MilkyWay
2.7200E+01;2.1300E+05;4.6900E+00;2.4600E+11;MilkyWay
3.7330E+01;3.8300E+05;3.3100E+00;1.2600E+12;MilkyWay
1.8200E+01;1.6700E+05;9.8300E+00;2.1000E+10;MilkyWay
3.1800E+01;7.7900E+05;3.7400E+00;1.7800E+12;MilkyWay
